lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
30.4601,-84.3006,93.874,93.352,97.103,26.531,91.708,97.023,90.967,92.093,12.033
30.4601,-84.2806,93.874,93.352,97.103,26.531,91.708,97.023,90.967,92.093,11.732
30.4601,-84.2606,93.867,93.347,97.101,26.532,91.701,97.018,90.965,92.084,11.4
30.4601,-84.2406,93.819,93.305,97.089,26.544,91.646,96.98,90.949,92.019,11.048
30.4601,-84.2206,93.638,93.153,97.043,26.588,91.447,96.839,90.888,91.787,10.692
30.4601,-84.2006,93.133,92.736,96.92,26.709,90.901,96.45,90.714,91.165,10.348
30.4601,-84.1806,91.923,91.757,96.632,26.987,89.614,95.532,90.291,89.727,10.034
30.4601,-84.1606,89.319,89.684,96.022,27.555,86.881,93.58,89.37,86.719,9.763
30.4601,-84.1406,84.254,85.705,94.851,28.608,81.619,89.83,87.561,80.993,9.541
30.4601,-84.1206,75.631,78.997,92.873,30.328,72.727,83.512,84.46,71.401,9.369
30.4601,-84.1006,63.472,69.612,90.102,32.671,60.263,74.686,80.066,58.043,9.242
30.4601,-84.0806,50.054,59.321,87.058,35.184,46.577,65.035,75.202,43.453,9.151
30.4601,-84.0606,38.706,50.667,84.492,37.254,35.057,56.953,71.078,31.23,9.091
30.4601,-84.0406,31.121,44.913,82.781,38.605,27.395,51.615,68.318,23.14,9.051
30.4601,-84.0206,26.871,41.708,81.825,39.345,23.126,48.67,66.772,18.656,9.027
30.4601,-84.0006,24.769,40.132,81.352,39.704,21.029,47.244,66.008,16.467,9.014
30.4601,-83.9806,23.826,39.429,81.14,39.864,20.096,46.624,65.667,15.5,9.006
30.4601,-83.9606,23.441,39.145,81.053,39.929,19.719,46.381,65.529,15.113,9.002
30.4601,-83.9406,23.301,39.042,81.021,39.953,19.585,46.298,65.48,14.976,9.001
30.4601,-83.9206,23.258,39.011,81.011,39.961,19.543,46.274,65.465,14.934,9.0
30.4601,-83.9006,23.248,39.003,81.009,39.963,19.534,46.268,65.462,14.925,9.0
30.4601,-83.8806,23.253,39.006,81.01,39.961,19.538,46.269,65.463,14.928,9.0
30.4601,-83.8606,23.275,39.022,81.016,39.951,19.556,46.272,65.468,14.944,9.001
30.4601,-83.8406,23.332,39.062,81.031,39.92,19.601,46.275,65.479,14.985,9.002
30.4601,-83.8206,23.46,39.149,81.067,39.831,19.698,46.266,65.498,15.065,9.005
30.4601,-83.8006,23.712,39.318,81.142,39.605,19.878,46.217,65.521,15.209,9.01
30.4601,-83.7806,24.174,39.623,81.287,39.084,20.19,46.068,65.532,15.444,9.02
30.4601,-83.7606,24.969,40.136,81.547,37.981,20.698,45.722,65.493,15.803,9.036
30.4601,-83.7406,26.242,40.939,81.985,35.848,21.47,45.035,65.337,16.312,9.06
30.4601,-83.7206,28.096,42.078,82.649,32.179,22.536,43.864,64.965,16.963,9.094
30.4601,-83.7007,30.442,43.478,83.527,26.76,23.819,42.179,64.304,17.681,9.14
30.4601,-83.6807,32.911,44.902,84.491,20.146,25.096,40.2,63.387,18.324,9.198
30.4601,-83.6607,35.008,46.061,85.35,13.602,26.112,38.331,62.384,18.767,9.269
30.4601,-83.6407,36.448,46.813,85.973,8.284,26.752,36.897,61.498,18.986,9.351
30.4601,-83.6207,37.268,47.206,86.355,4.603,27.071,35.969,60.836,19.048,9.44
30.4601,-83.6007,37.664,47.372,86.559,2.344,27.193,35.443,60.4,19.035,9.534
30.4601,-83.5807,37.829,47.425,86.656,1.083,27.222,35.174,60.139,19.002,9.628
30.4601,-83.5607,37.886,47.433,86.698,0.441,27.217,35.05,59.998,18.973,9.718
30.4601,-83.5407,37.901,47.429,86.714,0.149,27.207,34.999,59.93,18.956,9.801
30.4601,-83.5207,37.903,47.426,86.719,0.037,27.2,34.982,59.902,18.949,9.875
30.4601,-83.5007,37.902,47.424,86.72,0.005,27.197,34.977,59.893,18.946,9.94
30.4601,-83.4807,37.902,47.424,86.72,0.0,27.197,34.977,59.892,18.946,9.993
30.4601,-83.4607,37.902,47.424,86.72,0.0,27.197,34.977,59.892,18.946,10.035
30.4601,-83.4407,37.902,47.424,86.72,0.003,27.197,34.977,59.893,18.946,10.066
30.4601,-83.4207,37.904,47.425,86.72,0.022,27.201,34.979,59.9,18.947,10.086
30.4601,-83.4007,37.909,47.43,86.719,0.076,27.212,34.984,59.923,18.948,10.096
30.4601,-83.3807,37.921,47.441,86.717,0.191,27.239,34.994,59.979,18.947,10.096
30.4601,-83.3607,37.942,47.46,86.713,0.392,27.292,35.011,60.093,18.935,10.086
30.4601,-83.3407,37.975,47.492,86.707,0.7,27.385,35.033,60.301,18.894,10.067
30.4601,-83.3207,38.015,47.539,86.696,1.121,27.524,35.055,60.651,18.792,10.038
30.4601,-83.3007,38.044,47.599,86.678,1.63,27.703,35.061,61.191,18.581,10.0
30.4601,-83.2807,38.02,47.659,86.647,2.162,27.882,35.021,61.951,18.198,9.953
30.4601,-83.2607,37.869,47.687,86.595,2.6,27.968,34.885,62.901,17.587,9.897
30.4601,-83.2407,37.503,47.627,86.513,2.817,27.832,34.602,63.925,16.737,9.833
30.4601,-83.2207,36.857,47.42,86.397,2.737,27.355,34.139,64.837,15.709,9.76
30.4601,-83.2007,35.936,47.035,86.25,2.39,26.504,33.513,65.474,14.62,9.678
30.4601,-83.1807,34.815,46.49,86.079,1.891,25.354,32.781,65.771,13.59,9.59
30.4601,-83.1607,33.61,45.84,85.901,1.367,24.048,32.017,65.771,12.695,9.495
30.4601,-83.1407,32.437,45.158,85.728,0.908,22.737,31.291,65.574,11.966,9.394
30.4601,-83.1208,31.391,44.516,85.574,0.555,21.55,30.653,65.287,11.4,9.287
30.4601,-83.1008,30.535,43.971,85.447,0.309,20.572,30.138,64.996,10.985,9.177
30.4601,-83.0808,29.901,43.555,85.353,0.155,19.844,29.759,64.753,10.699,9.064
30.4601,-83.0608,29.483,43.275,85.291,0.068,19.364,29.51,64.582,10.521,8.949
30.4601,-83.0408,29.246,43.114,85.255,0.025,19.091,29.368,64.48,10.423,8.834
30.4601,-83.0208,29.136,43.039,85.239,0.008,18.965,29.303,64.432,10.378,8.719
30.4601,-83.0008,29.099,43.013,85.233,0.002,18.921,29.28,64.415,10.363,8.606
30.4601,-82.9808,29.091,43.007,85.232,0.001,18.912,29.275,64.411,10.359,8.495
